Reference,StrikeATMdiff,Forward_Rate,Volatility
EUR_6Y_2Y,0,0.009278949191,0.00501527455584993
EUR_6Y_2Y,50,0.009278949191,0.00532966560664429
EUR_6Y_2Y,100,0.009278949191,0.00567355322279135
EUR_6Y_2Y,125,0.009278949191,0.00585488985571123
EUR_6Y_2Y,200,0.009278949191,0.0064207716732568
EUR_6Y_2Y,300,0.009275997191,0.0072109996706994
EUR_7Y_2Y,-175,0.011264216197,0.0045915474355707
EUR_7Y_2Y,-150,0.011265105145,0.00464869565022726
EUR_7Y_2Y,-125,0.011263421587,0.00472398218581188
EUR_7Y_2Y,-100,0.011263421587,0.0048043348050095
EUR_7Y_2Y,-50,0.011263421587,0.00500252572422008
EUR_7Y_2Y,0,0.011263421587,0.0052543243235879
EUR_7Y_2Y,50,0.011263421587,0.0055422209673579
EUR_7Y_2Y,100,0.011263421587,0.00585393666196433
EUR_7Y_2Y,125,0.011263421587,0.00601875337815375
EUR_7Y_2Y,200,0.011263421587,0.00653560718416019
EUR_7Y_2Y,300,0.011260734904,0.00725842599420118
EUR_8Y_2Y,-200,0.012875813748,0.00468704351031348
EUR_8Y_2Y,-175,0.012876074039,0.00475013186393999
EUR_8Y_2Y,-150,0.012874841373,0.00480776006797309
EUR_8Y_2Y,-100,0.012874841373,0.00495598593142141
EUR_8Y_2Y,-50,0.012874841373,0.00513918380774881
EUR_8Y_2Y,0,0.012874841373,0.00537040978235759
EUR_8Y_2Y,50,0.012874841373,0.00563566588976797
EUR_8Y_2Y,100,0.012874841373,0.00592246262960398
EUR_8Y_2Y,125,0.012874841373,0.00607419553367974
EUR_8Y_2Y,200,0.012874841373,0.00655254475154412
EUR_8Y_2Y,300,0.012873242728,0.00722899940705323
EUR_9Y_2Y,-225,0.014164250643,0.00474832813193141
EUR_9Y_2Y,-200,0.01416320108,0.00482192929049675
EUR_9Y_2Y,-150,0.014161317559,0.0049420635813846
EUR_9Y_2Y,-100,0.014161317559,0.00508447395804125
EUR_9Y_2Y,-50,0.014161317559,0.00525615213925618
EUR_9Y_2Y,0,0.014161317559,0.00547162705746413
EUR_9Y_2Y,50,0.014161317559,0.00571653795705022
EUR_9Y_2Y,100,0.014161317559,0.00597891570848738
EUR_9Y_2Y,125,0.014161317559,0.00611890343810611
EUR_9Y_2Y,200,0.014161317559,0.00656188357783881
EUR_9Y_2Y,300,0.014160486129,0.00719155308473029
EUR_10Y_2Y,-225,0.015213705413,0.00485413049465197
EUR_10Y_2Y,-200,0.015212983365,0.00492003274512924
